Tank ID,Species,Individual,Time,Osmo_dilution_factor,Measured_Hem_Osmo,Actual_hemo_Osmo,ion_dilution_factor,Measured_Hem_Na,Measured_Hem_K,Measured_Hem_Cl,Actual_Hem_Na,Actual_Hem_K,Actual_Hem_Cl
10,Blue,blue band,0,2,510.0,1020.0,4,122.21,3.33,123.26,488.84,13.32,493.04
10,Blue,blue band,6,1,908.0,908.0,3,142.35,2.89,141.63,427.05,8.67,424.89
10,Blue,blue band,12,1,875.0,875.0,3,133.40,2.89,133.18,400.20,8.67,399.54
10,Blue,blue band,24,1,817.5,817.5,3,113.44,2.37,117.92,340.32,7.11,353.76
10,Blue,blue band,28,1,853.5,853.5,3,110.30,2.54,113.97,330.90,7.62,341.91
10,Blue,green band,0,2,505.0,1010.0,3,91.53,1.94,91.61,274.59,5.82,274.83
10,Blue,green band,6,1,868.5,868.5,3,133.98,2.67,129.74,401.94,8.01,389.22
10,Blue,green band,12,1,841.0,841.0,3,135.57,2.93,131.82,406.71,8.79,395.46
10,Blue,green band,24,1,821.0,821.0,3,119.38,2.94,121.23,358.14,8.82,363.69
10,Blue,green band,28,1,820.5,820.5,3,117.53,2.45,119.26,352.59,7.35,357.78
10,Blue,pink band,0,2,497.0,994.0,4,116.84,2.38,118.98,467.36,9.52,475.92
10,Blue,pink band,6,1,855.7,855.7,3,150.85,2.85,153.49,452.55,8.55,460.47
10,Blue,pink band,12,1,840.5,840.5,3,162.25,2.92,164.24,486.75,8.76,492.72
10,Blue,pink band,24,1,811.0,811.0,3,133.34,3.12,143.54,400.02,9.36,430.62
10,Blue,pink band,28,1,816.0,816.0,3,112.58,2.56,118.66,337.74,7.68,355.98
6,Spider,blue band,0,2,516.5,1033.0,3,167.18,4.35,191.35,501.54,13.05,574.05
6,Spider,blue band,6,1,619.5,619.5,3,82.90,2.78,95.33,248.70,8.34,285.99
6,Spider,blue band,12,1,560.5,560.5,2,104.37,3.06,114.68,208.74,6.12,229.36
6,Spider,blue band,24,1,548.0,548.0,2,105.52,4.34,114.68,211.04,8.68,229.36
6,Spider,blue band,28,1,551.5,551.5,2,107.31,3.73,114.68,214.62,7.46,229.36
6,Spider,green band,0,2,515.5,1031.0,3,145.06,3.78,168.63,435.18,11.34,505.89
6,Spider,green band,6,1,619.5,619.5,3,61.52,2.52,73.03,184.56,7.56,219.09
6,Spider,green band,12,1,566.5,566.5,2,106.01,3.53,117.32,212.02,7.06,234.64
6,Spider,green band,24,1,553.0,553.0,2,104.98,3.75,112.10,209.96,7.50,224.20
6,Spider,green band,28,1,552.5,552.5,2,106.66,3.01,113.39,213.32,6.02,226.78
6,Spider,red band,0,2,529.0,1058.0,3,157.01,5.11,180.98,471.03,15.33,542.94
6,Spider,red band,6,1,523.5,523.5,3,69.25,2.93,76.57,207.75,8.79,229.71
6,Spider,red band,12,1,565.0,565.0,2,142.42,4.22,150.78,284.84,8.44,301.56
6,Spider,red band,24,1,545.0,545.0,2,106.31,3.70,113.97,212.62,7.40,227.94
6,Spider,red band,28,1,548.0,548.0,2,106.51,3.31,113.39,213.02,6.62,226.78
4,Horseshoe,blue band,0,2,475.5,951.0,4,101.67,2.30,116.21,406.68,9.20,464.84
4,Horseshoe,blue band,6,1,874.0,874.0,4,95.98,2.03,104.08,383.92,8.12,416.32
4,Horseshoe,blue band,12,1,796.0,796.0,3,124.30,2.86,133.18,372.90,8.58,399.54
4,Horseshoe,blue band,24,1,745.5,745.5,2,154.66,4.05,170.85,309.32,8.10,341.70
4,Horseshoe,blue band,28,1,738.5,738.5,2,153.73,3.86,172.91,307.46,7.72,345.82
4,Horseshoe,pink band,0,2,510.5,1021.0,4,166.55,3.30,178.09,666.20,13.20,712.36
4,Horseshoe,pink band,6,1,882.0,882.0,4,93.26,2.12,99.29,373.04,8.48,397.16
4,Horseshoe,pink band,12,1,807.0,807.0,3,126.60,3.12,133.79,379.80,9.36,401.37
4,Horseshoe,pink band,24,1,775.0,775.0,2,156.86,4.14,167.34,313.72,8.28,334.68
4,Horseshoe,pink band,28,1,773.5,773.5,2,168.67,4.22,179.61,337.34,8.44,359.22
4,Horseshoe,red band,0,2,504.5,1009.0,5,89.75,1.82,98.43,448.75,9.10,492.15
4,Horseshoe,red band,6,1,842.0,842.0,4,94.49,1.82,100.93,377.96,7.28,403.72
4,Horseshoe,red band,12,1,762.5,762.5,3,110.69,2.85,117.10,332.07,8.55,351.30
4,Horseshoe,red band,24,1,709.0,709.0,2,149.86,3.99,164.98,299.72,7.98,329.96
4,Horseshoe,red band,28,1,702.5,702.5,2,164.78,3.73,176.71,329.56,7.46,353.42
