Tank ID,Species,Individual,Time,Osmo_dilution_factor,Measured_Hem_Osmo,Actual_hemo_Osmo,ion_dilution_factor,Measured_Hem_Na,Measured_Hem_K,Measured_Hem_Cl,Actual_Hem_Na,Actual_Hem_K,Actual_Hem_Cl
4,Horseshoe,red band,0,1,983,983,3,138.09,3.02,155.17,414.27,9.06,465.51
4,Horseshoe,red band,6,1,815,815,3,110.85,3.04,124.61,332.55,9.12,373.83
4,Horseshoe,red band,12,1,733.5,733.5,3,86.96,2.82,112.98,260.88,8.46,338.94
4,Horseshoe,red band,24,1,689,689,2,148.27,4.3,165.17,296.54,8.6,330.34
4,Horseshoe,red band,28,1,676,676,2,147.28,4.08,160.3,294.56,8.16,320.6
4,Horseshoe,green band,0,1,979.5,979.5,3,136.61,2.97,148.4,409.83,8.91,445.2
4,Horseshoe,green band,6,1,829.5,829.5,3,125.21,2.6,135.9,375.63,7.8,407.7
4,Horseshoe,green band,12,1,744.7,744.7,3,110.14,2.52,123.91,330.42,7.56,371.73
4,Horseshoe,green band,24,2,381,762,2,71.11,2.06,83.96,142.22,4.12,167.92
4,Horseshoe,green band,28,1,667,667,2,136.73,3.49,161.18,273.46,6.98,322.36
4,Horseshoe,pink band,0,1,978.5,978.5,3,138.09,3.02,155.17,414.27,9.06,465.51
4,Horseshoe,pink band,6,1,800.5,800.5,3,111.42,2.34,127.84,334.26,7.02,383.52
4,Horseshoe,pink band,12,1,716.3,716.3,3,100.4,2.37,115.35,301.2,7.11,346.05
4,Horseshoe,pink band,24,1,643,643,2,136.79,4.65,154.79,273.58,9.3,309.58
4,Horseshoe,pink band,28,1,618,618,2,136.17,4.72,155.64,272.34,9.44,311.28
6,Spider,blue band,0,2,516.5,1033,3,167.18,4.35,191.35,501.54,13.05,574.05
6,Spider,blue band,6,1,619.5,619.5,3,82.9,2.78,95.33,248.7,8.34,285.99
6,Spider,blue band,12,1,560.5,560.5,2,104.37,3.06,114.68,208.74,6.12,229.36
6,Spider,blue band,24,1,548,548,2,105.52,4.34,114.68,211.04,8.68,229.36
6,Spider,blue band,28,1,551.5,551.5,2,107.31,3.73,114.68,214.62,7.46,229.36
6,Spider,green band,0,2,515.5,1031,3,145.06,3.78,168.63,435.18,11.34,505.89
6,Spider,green band,6,1,619.5,619.5,3,61.52,2.52,73.03,184.56,7.56,219.09
6,Spider,green band,12,1,566.5,566.5,2,106.01,3.53,117.32,212.02,7.06,234.64
6,Spider,green band,24,1,553,553,2,104.98,3.75,112.1,209.96,7.5,224.2
6,Spider,green band,28,1,552.5,552.5,2,106.66,3.01,113.39,213.32,6.02,226.78
6,Spider,red band,0,2,529,1058,3,157.01,5.11,180.98,471.03,15.33,542.94
6,Spider,red band,6,1,595,595,3,69.25,2.93,76.57,207.75,8.79,229.71
6,Spider,red band,12,1,565,565,2,142.42,4.22,150.78,284.84,8.44,301.56
6,Spider,red band,24,1,545,545,2,106.31,3.7,113.97,212.62,7.4,227.94
6,Spider,red band,28,1,548,548,2,106.51,3.31,113.39,213.02,6.62,226.78
10,Blue,red band,0,1,981,981,3,138.91,3.78,143.61,416.73,11.34,430.83
10,Blue,red band,6,1,857,857,2,175.03,4.05,185.01,350.06,8.1,370.02
10,Blue,red band,12,1,828,828,2,164.76,4.18,175.31,329.52,8.36,350.62
10,Blue,red band,24,1,830,830,2,182.46,5.38,193.48,364.92,10.76,386.96
10,Blue,red band,28,1,834,834,3,128,3.6,134,384,10.8,402
10,Blue,green band,0,1,977,977,3,125.84,3.28,143.61,377.52,9.84,430.83
10,Blue,green band,6,1,875,875,3,125,3.1,131,375,9.3,393
10,Blue,green band,12,1,689.5,689.5,2,140.42,3.79,153.24,280.84,7.58,306.48
10,Blue,green band,24,1,784.5,784.5,2,149.88,3.89,162.96,299.76,7.78,325.92
10,Blue,green band,28,1,864,864,3,134,3.35,142.67,402,10.05,428.01
10,Blue,pink band,0,1,983,983,3,109.33,2.86,113.51,327.99,8.58,340.53
10,Blue,pink band,6,1,845,845,3,114.96,3.37,117,344.88,10.11,351
10,Blue,pink band,12,1,810,810,2,156.53,4,157.05,313.06,8,314.1
10,Blue,pink band,24,1,832,832,2,175.73,4.82,185.01,351.46,9.64,370.02
10,Blue,pink band,28,1,899,899,3,138.06,2.89,147.8,414.18,8.67,443.4
10,Blue,blue band,0,1,983,983,3,151.63,4,163.77,454.89,12,491.31
10,Blue,blue band,6,1,870,870,,112.81,2.52,122.02,0,0,0
10,Blue,blue band,12,1,855,855,3,109.69,2.93,120.77,329.07,8.79,362.31
10,Blue,blue band,24,1,865.5,865.5,2,187.28,5.66,198.28,374.56,11.32,396.56
10,Blue,blue band,28,1,865,865,3,127.9,3.12,135.27,383.7,9.36,405.81
10,Blue,black band,0,1,974,974,3,102.28,2.94,106.63,306.84,8.82,319.89
10,Blue,black band,6,1,859,859,2,119.63,3.52,123.34,239.26,7.04,246.68
10,Blue,black band,12,1,863,863,2,182.3,4.26,181.75,364.6,8.52,363.5
10,Blue,black band,24,1,898,898,3,125.04,2.94,140.1,375.12,8.82,420.3
10,Blue,black band,28,1,811,811,3,120.68,3.86,124.47,362.04,11.58,373.41
