Tank ID,Species,Individual,Salinity Group,Tank_osm_dilution_factor,Measured_Tank_Osmo,Actual_Tank_Osmo,Tank_Ion_dilution_factor,Measured_Tank_Na,Measured_Tank_K,Measured_Tank_Cl,Actual_Tank_Na,Actual_Tank_K,Actual_Tank_Cl,Hemo_osm_dilution_factor,Measured_Hemo_Osmo,Actual_Hemo_Osmo,Hemo_Ion_dilution_factor,Measured_Hemo_Na,Measured_Hemo_K,Measured_Hemo_Cl,Actual_Hemo_Na,Actual_Hemo_K,Actual_Hemo_Cl
9,Blue,1,25,1,266,266,2,61.46,1.67,68.03,122.92,3.34,136.06,1,659,659,2,148.96,2.18,151.76,297.92,4.36,303.52
9,Blue,3,25,1,266,266,2,61.46,1.67,68.03,122.92,3.34,136.06,1,850,850,2,180.19,3.84,191.34,360.38,7.68,382.68
9,Blue,4,25,1,266,266,2,61.46,1.67,68.03,122.92,3.34,136.06,1,821,821,2,186.32,3.58,195.46,372.64,7.16,390.92
10,Blue,red,50,1,513,513,2,109.89,2.62,123.34,219.78,5.24,246.68,1,834,834,3,128,3.6,134,384,10.8,402
10,Blue,green,50,1,513,513,2,109.89,2.62,123.34,219.78,5.24,246.68,1,864,864,3,134,3.35,142.67,402,10.05,428.01
10,Blue,pink,50,1,513,513,2,109.89,2.62,123.34,219.78,5.24,246.68,1,899,899,3,138.06,2.89,147.8,414.18,8.67,443.4
10,Blue,blue,50,1,513,513,2,109.89,2.62,123.34,219.78,5.24,246.68,1,865,865,3,127.9,3.12,135.27,383.7,9.36,405.81
10,Blue,black,50,1,513,513,2,109.89,2.62,123.34,219.78,5.24,246.68,1,811,811,3,120.68,3.86,124.47,362.04,11.58,373.41
11,Blue,green,75,1,782,782,3,99.93,2.41,114.69,299.79,7.23,344.07,1,932,932,3,141.86,3.96,150.22,425.58,11.88,450.66
11,Blue,red,75,1,782,782,3,99.93,2.41,114.69,299.79,7.23,344.07,1,906,906,3,118.87,3.23,122.44,356.61,9.69,367.32
11,Blue,pink,75,1,782,782,3,99.93,2.41,114.69,299.79,7.23,344.07,1,913,913,4,105.24,3.08,108.21,420.96,12.32,432.84
11,Blue,blue,75,1,782,782,3,99.93,2.41,114.69,299.79,7.23,344.07,1,930,930,3,135.26,3.24,141.37,405.78,9.72,424.11
11,Blue,black,75,1,782,782,3,99.93,2.41,114.69,299.79,7.23,344.07,1,934,934,3,119.28,3.73,123.19,357.84,11.19,369.57
3,Blue,2,100,2,546.5,1093,3,163.67,3.79,184.1,491.01,11.37,552.3,2,528,1056,3,140.93,3.38,161.99,422.79,10.14,485.97
3,Blue,1,100,2,546.5,1093,3,163.67,3.79,184.1,491.01,11.37,552.3,2,560,1120,3,148.2,3.58,165.17,444.6,10.74,495.51
3,Blue,3,100,2,546.5,1093,3,163.67,3.79,184.1,491.01,11.37,552.3,2,535,1070,3,144.26,3.41,164.43,432.78,10.23,493.29
3,Blue,4,100,2,546.5,1093,3,163.67,3.79,184.1,491.01,11.37,552.3,2,551,1102,3,140.93,3.38,161.99,422.79,10.14,485.97
3,Blue,5,100,2,546.5,1093,3,163.67,3.79,184.1,491.01,11.37,552.3,2,536,1072,3,144.26,3.41,164.43,432.78,10.23,493.29
13,Blue,1,125,2,547,1094,4,116.82,2.69,132.43,467.28,10.76,529.72,2,622,1244,4,120.84,3.26,123.21,483.36,13.04,492.84
13,Blue,3,125,2,547,1094,4,116.82,2.69,132.43,467.28,10.76,529.72,2,734,1468,4,128.15,3.33,135.15,512.6,13.32,540.6
13,Blue,4,125,2,547,1094,4,116.82,2.69,132.43,467.28,10.76,529.72,2,638,1276,4,134.22,3.34,140.31,536.88,13.36,561.24
13,Blue,5,125,2,547,1094,4,116.82,2.69,132.43,467.28,10.76,529.72,2,672,1344,4,138.03,3.44,142.89,552.12,13.76,571.56
4,Horseshoe,pink,50,1,527,527,2,112.4,2.73,129.75,224.8,5.46,259.5,1,650,650,2,136.17,4.72,155.64,272.34,9.44,311.28
4,Horseshoe,red,50,1,527,527,2,112.4,2.73,129.75,224.8,5.46,259.5,1,695,695,2,147.28,4.08,160.3,294.56,8.16,320.6
4,Horseshoe,green,50,1,527,527,2,112.4,2.73,129.75,224.8,5.46,259.5,1,634,634,2,136.73,3.49,161.18,273.46,6.98,322.36
2,Horseshoe,green,75,1,715,715,3,102.38,2.52,117.63,307.14,7.56,352.89,1,814,814,3,116.66,2.89,120.71,349.98,8.67,362.13
2,Horseshoe,pink,75,1,715,715,3,102.38,2.52,117.63,307.14,7.56,352.89,1,779,779,3,107.53,2.53,119.53,322.59,7.59,358.59
2,Horseshoe,red,75,1,715,715,3,102.38,2.52,117.63,307.14,7.56,352.89,1,768,768,3,112.45,3.46,126.54,337.35,10.38,379.62
